source_files,prompt_id,broad_family,subfamily,trace_count,correct_count,incorrect_count,uncertain_count,prompt,expected_answer,inferred_subfamily,parser_success,fragility_reason,parsed_entity_count,parsed_ordering_len,question,clean_status
data/raw/traces_arithmetic_expansion_large_oracle.jsonl,arith_001,arithmetic,combine_subtract,3,3,0,0,"Solve step by step: A class collected 14 cans on Monday and 19 on Tuesday. If 6 were damaged and discarded, how many usable cans remained?",27.0,combine_subtract,True,,,,,single_outcome
data/raw/traces_arithmetic_expansion_large_oracle.jsonl,arith_002,arithmetic,combine_subtract,3,3,0,0,"Solve step by step: A store sold 23 pencils in the morning and 18 in the afternoon. If 7 were returned, how many pencils stayed sold?",34.0,combine_subtract,True,,,,,single_outcome
data/raw/traces_arithmetic_expansion_large_oracle.jsonl,arith_003,arithmetic,combine_subtract,3,3,0,0,"Solve step by step: A club raised 125 dollars on Friday and 87 dollars on Saturday. If 36 dollars were spent on supplies, how much money remained?",176.0,combine_subtract,True,,,,,single_outcome
data/raw/traces_arithmetic_expansion_large_oracle.jsonl,arith_004,arithmetic,combine_subtract,3,2,1,0,"Solve step by step: A library checked out 42 books to adults and 31 to children. If 9 books were returned the same day, how many books stayed checked out?",64.0,combine_subtract,True,,,,,clean_mixed
data/raw/traces_arithmetic_expansion_large_oracle.jsonl,arith_005,arithmetic,combine_subtract,3,2,1,0,"Solve step by step: A warehouse shipped 240 boxes in one batch and 175 in another. If 58 boxes came back due to labeling errors, how many boxes remained delivered?",357.0,combine_subtract,True,,,,,clean_mixed
data/raw/traces_arithmetic_expansion_large_oracle.jsonl,arith_006,arithmetic,inverse_linear,3,3,0,0,Solve step by step: A number is multiplied by 3 and then 5 is added to get 26. What is the original number?,7.0,inverse_linear,True,,,,,single_outcome
data/raw/traces_arithmetic_expansion_large_oracle.jsonl,arith_007,arithmetic,inverse_linear,3,3,0,0,Solve step by step: A number is doubled and then 9 is subtracted to get 17. What is the original number?,13.0,inverse_linear,True,,,,,single_outcome
data/raw/traces_arithmetic_expansion_large_oracle.jsonl,arith_008,arithmetic,inverse_linear,3,3,0,0,Solve step by step: A number is multiplied by 5 and then 12 is added to get 67. What is the original number?,11.0,inverse_linear,True,,,,,single_outcome
data/raw/traces_arithmetic_expansion_large_oracle.jsonl,arith_009,arithmetic,inverse_linear,3,3,0,0,Solve step by step: A number is divided by 4 and then 6 is added to get 14. What is the original number?,32.0,inverse_linear,True,,,,,single_outcome
data/raw/traces_arithmetic_expansion_large_oracle.jsonl,arith_010,arithmetic,inverse_linear,3,3,0,0,"Solve step by step: A number is multiplied by 7, then 11 is subtracted, and the result is 45. What is the original number?",8.0,inverse_linear,True,,,,,single_outcome
data/raw/traces_arithmetic_expansion_large_oracle.jsonl,arith_011,arithmetic,average_speed,3,3,0,0,Solve step by step: A car travels 60 km in 1 hour and then 90 km in 2 hours. What is the average speed over the whole trip?,50.0,average_speed,True,,,,,single_outcome
data/raw/traces_arithmetic_expansion_large_oracle.jsonl,arith_012,arithmetic,average_speed,3,3,0,0,Solve step by step: A runner completes 4 km in 20 minutes and then 2 km in 10 minutes. What is the average speed in km per minute?,0.2,average_speed,True,,,,,single_outcome
data/raw/traces_arithmetic_expansion_large_oracle.jsonl,arith_013,arithmetic,average_speed,3,0,3,0,Solve step by step: A train travels 150 km in 3 hours and then 220 km in 4 hours. What is its average speed across the full trip?,52.857142857142854,average_speed,True,,,,,single_outcome
data/raw/traces_arithmetic_expansion_large_oracle.jsonl,arith_014,arithmetic,average_speed,3,3,0,0,Solve step by step: A cyclist rides 18 miles in 1.5 hours and then 12 miles in 1 hour. What is the average speed for the entire ride?,12.0,average_speed,True,,,,,single_outcome
